Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,QQQ,SPY,QQQ,SPY,QQQ,SPY,QQQ,SPY,QQQ,SPY
Date,,,,,,,,,,
2022-04-26,310.3848876953125,397.0843200683594,320.6807994621834,406.57006641065027,310.1108230618783,397.0556922272028,320.49484409952413,406.3696423996233,105819600,103996300
2022-04-27,310.01300048828125,398.2008056640625,316.0026393024003,403.59262470913546,308.29047904773137,396.04410716896217,310.4827573411209,398.1721778250147,111204200,122030000
2022-04-28,321.0232849121094,408.25921630859375,322.86324505101646,410.00560219764395,310.7567051726849,398.51581822590464,314.9944914246973,402.9914890427178,99450000,105449100
2022-04-29,306.57769775390625,393.1717224121094,320.25993105881537,406.4078628734496,305.94154888770265,392.41781702296566,316.805122124,404.2320593609407,91977900,145491100
2022-05-02,311.6963195800781,395.5383605957031,311.93119797184335,396.91255522470885,303.0543837166319,386.510659661804,306.16664187771056,393.23849360025514,115511800,158312500
2022-05-03,312.02911376953125,397.3514709472656,314.3290645410877,399.7849244958309,309.24960959770067,394.4694660744106,311.7159226288191,396.0440845006993,78185500,100028200
2022-05-04,322.5795593261719,409.4520568847656,323.2548647853984,410.0246428508911,307.20418909937206,394.8035424391376,312.5087269219972,398.0195295744463,116083400,144247900
2022-05-05,306.33306884765625,394.89898681640625,318.32214262843513,405.5776090165834,303.0250584052536,390.72869935512847,318.24385977811966,405.148162251981,154607400,172929100
2022-05-06,302.6629638671875,392.5418395996094,308.37856807284476,395.8437101273166,298.61113167979977,387.18822947262265,304.32676575300957,392.312816871632,139572800,151770800
2022-05-09,290.8206787109375,379.9737548828125,302.7608298238685,387.83717986200526,289.42114497691614,378.3800606028787,297.01586600399696,386.5870488264181,113387300,155586100
2022-05-10,294.35382080078125,380.8516540527344,299.2473207881992,387.5222029690251,290.2530654219207,376.77680278217764,298.0239457913447,386.00486918271105,124124600,132497200
2022-05-11,285.6237487792969,374.8014831542969,297.61282144394767,385.5755428550261,284.7527214800921,374.0475776817538,292.08317349457747,379.8783682860828,140326100,142361000
2022-05-12,284.9485168457031,374.41015625,289.45054310074744,377.7120269575783,278.8707978285489,367.5487351289008,281.3273445397859,371.5758833451584,120910900,125090800
2022-05-13,295.5086669921875,383.3615417480469,296.5460865557506,384.75481211909374,287.8160698098121,377.5307514050689,289.42115207346967,378.5804876255573,83684900,104174400
2022-05-16,292.0831604003906,381.8060302734375,295.82180067274993,385.50872035643846,290.80106609701056,379.42983167935057,293.7567286364549,381.70107121209463,59190400,78622400
2022-05-17,299.6485290527344,389.65985107421875,300.03020644124683,389.89842611590467,294.1482111220443,384.1821483135186,297.96516421245343,387.9516456213275,62715300,83029700
2022-05-18,284.9386901855469,373.9520568847656,295.8120312406316,385.346403434764,283.6761590093976,372.70192597101425,295.1171627063383,385.0601250281532,79477100,117674500
2022-05-19,283.4118957519531,371.6617736816406,288.1194696137531,376.12792106283007,281.45449600822997,369.41916223050765,283.1280942937491,370.8601649524356,79920700,98510700
2022-05-20,282.5310974121094,371.823974609375,287.5420364307627,378.8857899423689,274.24150755246575,363.1493896821805,286.8863241830961,375.2785365159818,91764200,131432200
2022-05-23,287.2288818359375,378.7808532714844,287.61055929827654,379.5538341140032,281.1707265502282,372.53972172547,283.57832014610335,374.87773977302686,63648400,76414900
2022-05-24,281.1217041015625,375.88934326171875,282.70719290348165,377.0917417853128,276.2380019506432,369.276020328754,281.99276120764284,374.62010760751093,73491100,91448800
2022-05-25,285.0561828613281,379.21026611328125,287.14081872280155,381.1952268396874,279.4188610801667,373.9807196518343,279.6243797254014,374.38150942730897,67144500,91472900
2022-05-26,292.9542541503906,386.7874450683594,294.5104134141418,388.43839504090556,283.9697954323187,380.24095911114176,284.2536267916413,380.4509063381538,59462200,82168300
2022-05-27,302.5161437988281,396.2827453613281,302.6629428097043,396.39725673577,295.97843566237145,389.0682375421539,296.0958748710724,389.2686324474272,66985600,84768700
2022-05-31,301.7136535644531,394.0591125488281,304.69867680302656,397.42779055948637,297.84777637706935,391.29164822917306,302.486834975441,394.6507739199975,60968300,95937000
2022-06-01,299.482177734375,390.871826171875,305.99052627698757,397.2179168518006,297.2605396518667,388.33338407531835,303.85696760382433,396.19683774314933,65341700,86585800
2022-06-02,307.68365478515625,398.3153381347656,307.8598135848852,398.3630414912432,296.93751998846676,388.43832614086085,298.3566466772292,390.70956506941627,59291300,79609600
2022-06-03,299.6778564453125,391.7784118652344,303.8568933612125,395.1184625618482,298.4251220392376,390.79548382514815,302.44756342093524,393.5533962564281,60914700,71874300
2022-06-06,300.6761474609375,392.9713134765625,305.6968821087177,397.5710186110437,299.11022184018515,391.7879613467838,304.13095648796536,395.82466194374916,51785000,57508900
2022-06-07,303.2697448730469,396.7408142089844,304.0527227436263,397.1988888566451,296.2426864895753,388.98234778165886,297.3388256408347,389.44997475206304,44900300,59272400
2022-06-08,301.08721923828125,392.4273376464844,305.08030125973676,396.817124483218,300.23572532798175,391.62572895640926,302.4671596656431,395.0134830883503,38342100,64350000
2022-06-09,293.0227355957031,383.09429931640625,302.46718338352554,392.92358036094004,292.8563733433521,383.09429931640625,299.3940813176998,390.6332655578667,55900500,86289800
